Region,Sample,Classification,Mean,Std,Variance,Zero %,NaN %,Inf %,Min,Max,Unique Values
agartala,sample_015,VALID,20044.083984375,16427.93359375,269877024.0,0.0,0.0,0.0,7945.53271484375,47306.3125,68518
agartala,sample_016,VALID,20028.7578125,16478.759765625,271549504.0,0.0,0.0,0.0,7945.53271484375,47275.2109375,68407
agartala,sample_017,VALID,19971.3671875,16496.498046875,272134464.0,0.0,0.0,0.0,7945.287109375,47275.2109375,68344
agartala,sample_018,VALID,19662.158203125,16234.4150390625,263556240.0,0.0,0.0,0.0,8050.7880859375,47102.7265625,68250
agartala,sample_019,VALID,19823.90625,16290.759765625,265388848.0,0.0,0.0,0.0,8022.85546875,47554.94140625,68576
agartala,sample_020,VALID,19956.416015625,16346.546875,267209584.0,0.0,0.0,0.0,7953.7763671875,47554.94140625,68639
agartala,sample_021,VALID,20042.8046875,16415.634765625,269473088.0,0.0,0.0,0.0,7953.7763671875,47554.94140625,68506
agartala,sample_022,VALID,20043.390625,16474.056640625,271394528.0,0.0,0.0,0.0,7953.7763671875,47554.94140625,68385
agartala,sample_023,VALID,19963.8828125,16498.18359375,272190048.0,0.0,0.0,0.0,7945.287109375,47156.9453125,68318
agartala,sample_024,VALID,19683.1796875,16258.09375,264325600.0,0.0,0.0,0.0,8030.75341796875,46393.796875,68304
agartala,sample_025,VALID,19840.646484375,16308.69140625,265973424.0,0.0,0.0,0.0,8022.85546875,47554.94140625,68542
agartala,sample_026,VALID,19945.638671875,16370.85546875,268004896.0,0.0,0.0,0.0,7953.7763671875,47554.94140625,68572
agartala,sample_027,VALID,20025.69921875,16448.013671875,270537184.0,0.0,0.0,0.0,7953.7763671875,47554.94140625,68446
agartala,sample_028,VALID,20022.18359375,16511.15234375,272618176.0,0.0,0.0,0.0,7953.7763671875,47554.94140625,68311
agartala,sample_029,VALID,19935.86328125,16531.193359375,273280384.0,0.0,0.0,0.0,7953.7763671875,46815.03125,68227
agartala,sample_030,VALID,19719.234375,16317.623046875,266264816.0,0.0,0.0,0.0,8024.181640625,46635.73046875,68404
agartala,sample_031,VALID,19840.0,16361.94140625,267713120.0,0.0,0.0,0.0,8022.85546875,47554.94140625,68468
